,date,content,n_repost,n_like,n_comment,id,city,influency
13582,2024-01-30,"#赵美延[超话]#[团圆兔]#赵美延0131生日快乐# 
素净的雪会不会粉碎单薄无粘性的风
唱诗班的影子有点像虔诚祷告后倒数的钟声
我知道每个人都会有自己的神明
所以我听到年轻的朝日清光在呢喃
请告诉我爱的真谛
古老的琴键会有与人相爱的回音
风会被随意剪裁成请柬的形状
雪梨纸会接住干枯桔梗破碎成光的 ​​​",942,2417,502,MIYEON赵美延_zip, 中国香港,3861
14196,2024-01-30,次四问题稿件爆id http://t.cn/A6jlan3Q ​​​,81,3369,406,脱粉回踩救钱包, 中国香港,3856
3596,2024-01-30,听杨幂的：成年人沟通不了就算了 ​​​,225,3555,52,袁湘琴的恋爱日记, 中国香港,3832
21806,2024-01-30,"#TWICE[超话]# 
TWICE 迷你13辑先行曲 I Got You MV 预告 http://t.cn/A6jlScZ1 ​​​",528,3073,119,Twice_Data, 中国香港,3720
27044,2024-01-30,【偷糕】脱符 我们还是缺了点缘分吧 ​​​,33,3413,254,脱粉回踩救钱包, 中国香港,3700
3360,2024-01-30,"#taynew[超话]# 
taytay给newnew的生日祝福是视频，好浪漫啊[泪][泪][泪]
专门剪了情侣视角的双人视频，浪漫还得看大秧歌

tawan_v：Live a happy Newwiee life. 💗💙

cr. ig tawan_v http://t.cn/A6jlp6VU ​​​",838,2467,289,长颈鹿oppa的阿昕, 中国香港,3594
69616,2024-01-31,#吴磊林亦扬# #吴磊在暴雪时分# //@吴磊能量站:#吴磊林亦扬# #吴磊在暴雪时分# 帅气，优秀，能力强，温柔，体贴······林亦扬的优点数不过来//@吴磊LEO:来聊一聊，关于林亦扬。#在暴雪时分#,3486,1,1,Tin-stitch, 中国香港,3488
3140,2024-01-30,"LE SSERAFIM 3rd Mini Album 'EASY'
CONCEPT PHOTO
BALMY FLEX ​​​",572,2504,366,告白預行絵本, 中国香港,3442
71568,2024-01-01,"受不鸟好漂亮啊啊啊啊啊啊
双马尾 王心凌的统治区！！！ 

#王心凌今晚跟我一起SUGAR HIGH#  http://t.cn/A6lmWBCk ​​​",177,3044,218,婉司姬, 中国香港,3439
74951,2024-01-30,tg脱墨1 ​​​,7,3256,154,脱粉回踩救钱包, 中国香港,3417
