,date,content,n_repost,n_like,n_comment,id,city,influency
97556,2024-01-01,"元旦快乐🥳
SAY HELLO 2024！
期待😚#邓紫棋IAMGLORIA世界巡回演唱会# 2024第一站！#邓紫棋[超话]# ​​​",368,4875,617,邓紫棋工作室, 中国澳门,5860
75257,2024-01-01,"#王源[超话]##王源江苏卫视跨年晚会收视登顶# 
下面请欣赏 一生都在接话的小汤圆给王源伴唱屋顶
@TFBOYS-王源 http://t.cn/A6luUTZq ​​​",814,4695,334,CandyRoy糖果源, 中国澳门,5843
20176,2024-01-01,确实是往我的方向说新年快乐也#鞠婧祎好稳# [泪] http://t.cn/A6lmWdLj ​​​,108,5367,213,面面的养祎日记, 中国澳门,5688
23426,2024-01-01,"#鞠婧祎[超话]# 
20231231
“鞠婧祎真的好漂亮啊”📣
@鞠婧祎 ​​​",510,4524,419,海盐蜜桃酱丨鞠婧祎图博, 中国澳门,5453
22686,2024-01-01,"#摩登兄弟[超话]#    | #刘宇宁奉上梦回一念关山#

／20231231  江苏卫视跨年演唱会／

感谢你为所有关众奉上最好的宁远舟
@摩登兄弟刘宇宁
#刘宇宁哭了# ​​​",1205,3458,561,GlowingLove_刘宇宁, 中国澳门,5224
10125,2024-01-01,"#王源[超话]# 
「我在屋顶等雨也等你」正面直拍Focus
@TFBOYS-王源 http://t.cn/A6lmlTtB ​​​",1196,3460,460,EncounteRoy遇见丨王源, 中国澳门,5116
84517,2024-01-01,"#鞠婧祎[超话]# 

240101 MFM

@鞠婧祎 ​​​",755,3711,603,冰摇柠檬茶丨鞠婧祎, 中国澳门,5069
10545,2024-01-30,来了,5041,0,0,青丘九尾狐狸璟, 中国澳门,5041
1788,2024-01-01,"“的脚步流浪在天涯～”
刘宇宁这段把舞台走成T台了[awsl][awsl][awsl]

#刘宇宁把舞台走成T台##刘宇宁毛不易为啥唱这首歌# http://t.cn/A6lmNfyr ​​​",253,4497,231,橘子娱乐, 中国澳门,4981
79606,2024-01-01,"#江苏卫视 设备#怎么每年都会有歌手粉丝把唱得烂的锅甩在音响设备上呀。我昨晚在现场，晚会开始前，主持人热场，光是听他说话，我就立刻和我旁边的农夫说，这音响真是顶级。他说是呀……所以，上“难听”热搜的那些歌手，纯粹只是因为他们的唱功顶不住转播出来的类干声音质而已。

以前每当我评价某些 ​​​",22,4450,388,声理学, 中国澳门,4860
9869,2024-01-01,起猛了，美少女在我面前唱跳！！！ http://t.cn/A6lmYoEc ​​​,309,4275,203,橘子娱乐, 中国澳门,4787
20271,2024-01-01,回酒店后网速终于正常了，首先献上周深《璀璨冒险人》的现场直拍，这是今晚使我最为感动的两个表演之一。 http://t.cn/A6lmRJgH ​​​,88,4524,169,声理学, 中国澳门,4781
29856,2024-01-01,"#王源[超话]##王源2024龙行绛气# #王源江苏卫视跨年晚会收视登顶# 
阳光多灿烂@TFBOYS-王源 http://t.cn/A6lmnmf3 ​​​",820,3200,448,PurpleMicrostar_1108王源, 中国澳门,4468
75048,2024-01-01,"#王俊凯[超话]##11个王俊凯# 
耳机里堆积的想念在今天兑换成真实且热烈的见面。@TFBOYS-王俊凯 
2024的第一天送上一声新年快乐～ http://t.cn/A6lu2jHd ​​​",880,3322,253,Augenstern0921·王俊凯, 中国澳门,4455
34194,2024-01-01,"谁懂啊家人们，在江苏跨年误入林俊杰演唱会现场，欢迎来到JJ的统治区[作揖][作揖][作揖]

真的好爱《交换余生》[苦涩] 

#粉丝给林俊杰唱撇嘴了#http://t.cn/A6lmuSSP ​​​",426,3543,200,橘子娱乐, 中国澳门,4169
9583,2024-01-01,卧槽卧槽卧槽卧槽卧槽卧槽卧槽卧槽卧槽卧槽卧槽卧槽卧槽“失去了判断”好会啊王源。。求你们点开看好吗[微笑]http://t.cn/A6lmlMDx #王源江苏卫视跨年晚会收视登顶# ​​​,405,3476,198,源味白团子R, 中国澳门,4079
41698,2024-01-01,我请问呢 这个动作就是很没必要啊 简单搭一下不行吗 [微笑] #生气了王源自己猜# ​​​,284,3427,251,源味白团子R, 中国澳门,3962
58179,2024-01-01,"#李宇春[超话]#  多麼幸運可以上台和姐姐一起合唱，這幾天的感動太多太多了，忍不住寫下來，無比慶幸無比感激，2024年的第一天就已經心想事成。2024，我們再多多見面吧！！ 
#李宇春第19年跨年零点秀# #李宇春零点大合唱好感人# ​​​",772,2513,498,Hannahhhhi, 中国澳门,3783
84943,2024-01-01,"#鞠婧祎仙剑四# jjy#鞠婧祎韩菱纱# 
昨天看她坚持完成完整度很高很稳的舞台的时候就觉得她真的真的很棒了，在口岸狂奔只想见她一面说上一句鼓励的话，没有让自己后悔呢！谢谢小福星～新的一年开开心心 一切顺利哦～@鞠婧祎 http://t.cn/A6luKa5s ​​​",305,3144,195,我笑你啊11, 中国澳门,3644
112836,2024-01-01,好可愛><ㅋㅋㅋㅋㅋㅋ ​​​ http://t.cn/A6ludzni,789,2617,192,Josyukkk, 中国澳门,3598
79303,2024-01-01,#生气了王源自己猜# 昨晚，唱作人@TFBOYS-王源 在#江苏卫视跨年#演唱会带来新歌《我在屋顶等雨也等你》舞台首唱，轻柔的卡点、优雅的双人舞，浪漫的氛围感拉满啦[awsl]http://t.cn/A6lmMjYk ​​​,3349,93,58,浪里看综艺, 中国澳门,3500
26519,2024-01-30,【】首页刷到还以为是孔/雪/鹅，动态是不是回春很大？[思考] ​​​,11,3219,204,青菜炒泥蛋, 中国澳门,3434
29960,2024-01-01,"#摩登兄弟[超话]#    | #刘宇宁奉上梦回一念关山#

／20231231  江苏卫视跨年演唱会／

刘宇宁《奉上》舞台直拍完整版
故人归 他在这歌声里又来了人间一回

2024年 我们期待更多角色更多作品
刘宇宁 这是小炽第6次陪你跨年
祝你新年快乐 你继续逐梦 我们继续陪伴
@摩登兄弟刘宇宁
#刘宇宁哭了#  ​​​",468,2676,230,GlowingLove_刘宇宁, 中国澳门,3374
